Title,Author,Rating,Review
Mahabharata Bhagavad Gita,Unknown,5.00 (1),No reviews
Epic of Gilgamesh,Unknown,4.00 (1),No reviews
The Old Testament,Unknown,5.00 (1),user555
Illiad,Homer,3.00 (1),user555
Odyssey,Homer,No rating,No reviews
Histories,Herodotus,No rating,No reviews
Plays,Sophocles,5.00 (1),user555
Plays,Aeschyles,5.00 (1),user555
Hippolytus,Euripides,No rating,No reviews
Bachants,Euripides,5.00 (1),user555
Electra,Euripides,No rating,No reviews
The Phornician Women,Euripides,No rating,No reviews
The Peloponesian War,Thucydides,No rating,No reviews
Dialogues,Plato,5.00 (1),user555
Poetics,Aristotle,No rating,No reviews
Physics,Aristotle,4.00 (1),asiman
Ethics,Aristotle,No rating,No reviews
De Anima,Aristotle,3.00 (1),user555
Greek Anthology,Unknown,No rating,No reviews
On The Nature of Things,Lucretius,No rating,No reviews
Parallel Lives,Plutarch,No rating,No reviews
Aeneid,Virgil,1.00 (1),No reviews
Bucolics,Virgil,No rating,No reviews
Georgics,Virgil,No rating,No reviews
Annals,Tacitus,No rating,No reviews
Metamorphoses,Ovid,No rating,No reviews
Heroides,Ovid,No rating,No reviews
Amores,Ovid,No rating,No reviews
The New Testament,Unknown,1.00 (1),No reviews
The Twelve Caesars,Suetonius,No rating,No reviews
Meditations,Marcus Aurelius,No rating,No reviews
Poems,Catullus,No rating,No reviews
Poems,Horace,No rating,No reviews
Discourses,Epictetus,No rating,No reviews
Plays,Aristophanes,5.00 (1),user555
Historical Miscellany,Aelianus,No rating,No reviews
On the Nature of Animals,Aelianus,No rating,No reviews
Argonautica,Apollonius Rhodius,No rating,No reviews
Fourteen Byzantine Rulers,Michael Psellus,No rating,No reviews
The Rise and Fall of the Roman Empire,Edward Gibbon,No rating,No reviews
The Enneads,Plotinus,No rating,No reviews
Ecclesiastical History,Eusebius,No rating,No reviews
Consolations of Philosophy,Boethius,No rating,No reviews
Letters,Pliny the Younger,No rating,No reviews
Byzantine verse romances,Unknown,No rating,No reviews
Fragments,Heraclitus,No rating,No reviews
Confessions,St. Augustine,No rating,No reviews
Summa Theologica,Thomas Aquinas,No rating,No reviews
The Little Flowers,St. Francis of Assisi,No rating,No reviews
The Prince,Niccolò Machiavelli,No rating,No reviews
Divide Comedy,Dante Aighieri,No rating,No reviews
Novelle,Franco Sacchetti,1.00 (1),No reviews
Icelandic sagas,Unknown,No rating,No reviews
Anthony and Cleopatra,William Shakespeare,No rating,No reviews
Hamlet,William Shakespeare,4.00 (1),user
Macbeth,William Shakespeare,No rating,No reviews
Henry V,William Shakespeare,No rating,No reviews
Unknown,François Rabelais,No rating,No reviews
Unknown,Francis Bacon,No rating,No reviews
Selected Works,Martin Luther,No rating,No reviews
Institutes of the Christian Religion,John Calvin,No rating,No reviews
Essays,Michel de Montaigne,No rating,No reviews
Don Quixote,Miguel de Cervantes,No rating,No reviews
Discourses,René Descartes,No rating,No reviews
Song of Roland,Unknown,No rating,No reviews
Beowulf,Unknown,No rating,No reviews
Unknown,Benvenuto Cellini,No rating,No reviews
Education of Henry Adams,Henry Adams,No rating,No reviews
The Leviathan,Thomas Hobbes,No rating,No reviews
Thoughts,Blaise Pascal,No rating,No reviews
Paradise Lost,John Milton,No rating,No reviews
Unknown,John Donne,No rating,No reviews
Unknown,Andrew Marvell,No rating,No reviews
Unknown,George Herbert,No rating,No reviews
Unknown,Richard Crashaw,No rating,No reviews
Treatises,Baruch Spinoza,No rating,No reviews
Charterhouse of Parma,Stendhal,No rating,No reviews
The Red and the Black,Stendhal,No rating,No reviews
The Life of Henry Brulard,Stendhal,No rating,No reviews
Gulliver’s Travels,Jonathan Swift,No rating,No reviews
Tristram Shandy,Laurence Sterne,No rating,No reviews
Dangerous Liasons,Choderlos de Laclos,No rating,No reviews
Persian Letters,Baron de Montesquieu,No rating,No reviews
Second Treatise on Government,John Locke,No rating,No reviews
The Wealth of Nations,Adam Smith,No rating,No reviews
Discourse on Metaphysics,Gottfried Leibniz,No rating,No reviews
Everything,David Hume,No rating,No reviews
The Federalist Papers,Unknown,No rating,No reviews
Critique of Pure Reason,Immanuel Kant,No rating,No reviews
Fear and Trembling,Søren Kierkegaard,No rating,No reviews
Either/Or,Søren Kierkegaard,No rating,No reviews
Philosophical Fragments,Søren Kierkegaard,No rating,No reviews
Notes From the Underground,Fyodor Dostoevsky,No rating,No reviews
The Possessed,Fyodor Dostoevsky,No rating,No reviews
Democracy in America,Alexis de Tocqueville,No rating,No reviews
Faust,Johann Wolfgang von Goethe,No rating,No reviews
Italian Journey,Johann Wolfgang von Goethe,No rating,No reviews
Empire of the Czar,Astolphe-Louis-Léonor Marquis de Custine,No rating,No reviews
Mimesis,Eric Auerbach,No rating,No reviews
Conquest of Mexico,William H. Prescott,No rating,No reviews
Labyrinths of Solitude,Octavio Paz:,No rating,No reviews
The Logic of Scientific Discovery,Sir Karl Popper,No rating,No reviews
rahman's life,Rahman,No rating,No reviews
Life,Aristotel,No rating,No reviews
